placeId,name,address,latitude,longitude
ChIJl7BgVom0t4kRFvygXYj3sH0,Rice Paper - Taste of Vietnam,"6775 Wilson Blvd, Falls Church, VA 22044, USA",38.8738732,-77.15507439999999
ChIJ75_Nga1hwokRwb_lNQgLW50,湘当有料Young and Rich NY,"3619 Prince St, Queens, NY 11354, USA",40.7618164,-73.83274349999999
ChIJBVWUD51lwokRT6hy4qjF7hY,Anju,"128 Cedarhurst Ave, Cedarhurst, NY 11516, USA",40.6227939,-73.7242371
ChIJWQMGpce3t4kRnoRe4hk3Np8,Un je ne sais Quoi...,"1361 Connecticut Ave NW, Washington, DC 20036, USA",38.9088281,-77.04261369999999
ChIJScgTouy3t4kRxZH3rEzhwSE,Tortino Restaurant,"1228 11th St NW, Washington, DC 20001, USA",38.9065977,-77.0273034
ChIJ-82JrXi3t4kRSAkfWH-6ToU,L'Ardente,"200 Massachusetts Ave NW, Washington, DC 20001, USA",38.899284099999996,-77.0143415
ChIJ0x8Q6b5ZwokRMSVr7GeJQ6w,Yard House,"575 7th Ave, New York, NY 10018, USA",40.755089999999996,-73.98727
ChIJgYIki-m3t4kRZImvuN_pp9Q,Le Diplomate,"1601 14th St NW, Washington, DC 20009, USA",38.911364999999996,-77.0316635
ChIJnWZ_RdpZwokR_qU8loRh_aY,Paris Baguette,"1450 Broadway, New York, NY 10018, USA",40.7548557,-73.9864994
ChIJ35dPk4pYwokRbcEIZeGqtvg,Noi Due Cafe,"491 Columbus Ave, New York, NY 10024, USA",40.7849326,-73.97305949999999
ChIJAS_hmey3t4kR0sQaw-MhC3M,YELLOW Georgetown,"1524 Wisconsin Ave NW, Washington, DC 20007, USA",38.9094705,-77.0646087
ChIJg0mxg0m2t4kROYz_h-e6JjM,Café Georgetown,"3141 N St NW, Washington, DC 20007, USA",38.9069259,-77.062675
