placeId,name,address,latitude,longitude
ChIJu0nNBrIXcTERCYYHSj3FVIw,Thiên Đường Săn Mây Cầu Đất,"VHV8+9C, Xuân Trường, Da Lat, Lam Dong 630000, Vietnam",11.8922897,108.5684294
ChIJQTZ0-Z1ZwokRhl9v1FaVF0A,Hearth,"403 E 12th St, New York, NY 10009, USA",40.7300263,-73.9831883
ChIJ6TIr1bdZwokRwODfMs7T90g,K'Far,"97 Wythe Ave, Brooklyn, NY 11249, USA",40.7207031,-73.958786
ChIJJWju2R5ZwokRFzQHkRkc1yU,Lady Wong Patisserie Midtown,"135 W 50th St, New York, NY 10020, USA",40.760885599999995,-73.9825548
ChIJT994RulZwokRdgqQX0zc3QY,La Cabra Bakery,"152 2nd Ave, New York, NY 10003, USA",40.729445899999995,-73.9868353
ChIJ-QmJLA9ZwokRT_KbhxO-3y8,Breads Bakery,"1230 6th Ave, New York, NY 10020, USA",40.7587774,-73.9808338
ChIJU0c2Y6lZwokRKlyc_R8HN88,Cho Dang Gol,"55 W 35th St, New York, NY 10001, USA",40.750162499999995,-73.9863713
ChIJSawH-SBZwokRIHyvQj_8Qug,Bagel Pub Penn District,"350 7th Ave, New York, NY 10001, USA",40.7482179,-73.99287129999999
ChIJbVtD_4BZwokRVJcC9hll1l8,Broad Nosh Bagels Deli & Catering 58th Street,"314 W 58th St, New York, NY 10019, USA",40.767654199999996,-73.9832955
ChIJD8KzL1xbwokRganKQKjCRZQ,Tin Building by Jean-Georges,"96 South St, New York, NY 10038, USA",40.70619500000001,-74.00226909999999
ChIJtSiEHwBZwokRvaIX7do3E7Y,OKONOMI / YUJI Ramen Manhattan,"36 W 26th St, New York, NY 10010, USA",40.7442476,-73.9906333
ChIJBy4UlltZwokR3Lo6DCC9r_A,Patisserie Tomoko,"568 Union Ave, Brooklyn, NY 11211, USA",40.7177778,-73.9519444
ChIJNxEu8SZawokRARkMLjXhyBY,Apotheke Chinatown,"9 Doyers St, New York, NY 10013, USA",40.7144,-73.99817999999999
ChIJt8rEHyhawokR5iJZu_Em_g4,Spicy Village,"68 Forsyth St B, New York, NY 10002, USA",40.717002799999996,-73.9934222
ChIJI25hF09ZwokRnmmiXXONRf4,Double Chicken Please,"115 Allen St, New York, NY 10002, USA",40.719592,-73.9904612
ChIJwxHj5iBZwokR_pY9e5OhHNs,Book Club Bar,"197 E 3rd St, New York, NY 10009, USA",40.723003999999996,-73.983206
ChIJ__-z7kBZwokRezHqB39zBLI,Oxomoco,"128 Greenpoint Ave, Brooklyn, NY 11222, USA",40.7298214,-73.95547599999999
ChIJ01Ckk51ZwokRVkdfmRgkFA0,Nai,"84 2nd Ave, New York, NY 10003, USA",40.7265671,-73.98890999999999
ChIJidmaBvdZwokRpeaRMeb_rX4,Radio Bakery,"135 India St, Brooklyn, NY 11222, USA",40.7323915,-73.9550678
ChIJ-WrjMEBZwokRWvZf5dIHJvA,AOI Kitchen,"320 E 6th St, New York, NY 10003, USA",40.726783499999996,-73.9876152
ChIJlT3peYFZwokRkTXxmSnvS4g,Devoción,"600 Lexington Ave, New York, NY 10022, USA",40.758131999999996,-73.9713838
ChIJWWFYX6hZwokRiVPlneRsibg,Turntable Chicken Jazz,"20 W 33rd St, New York, NY 10001, USA",40.748159799999996,-73.9864242
ChIJ-zI-4PJZwokR4_xle0aFCIk,RYNN Thai Restaurant & Bar,"309 E 5th St, New York, NY 10003, USA",40.7268045,-73.9882662
ChIJL484G7803YkRK5v3lIRtJC4,Magazzino Italian Art,"2700 US-9, Cold Spring, NY 10516, USA",41.429749,-73.914816
ChIJY7gqh1RZwokRf1crJ0UzWXU,Pier 57 Rooftop Park,"57 Hudson River Greenway, New York, NY 10011, USA",40.7436531,-74.0106802
ChIJTbLWqhvMwokR_0zgnzzYUo8,MANITOGA / The Russel Wright Design Center,"584 NY-9D, Garrison, NY 10524, USA",41.3485649,-73.9526328
ChIJqTBaWiFZwokRahNVGgm3T2A,Osamil Upstairs,"5 W 31st St 2nd floor, New York, NY 10001, USA",40.746961,-73.9864309
ChIJRy7Z-I1ZwokRQm17a6QDJ6E,Bar Moga,"128 W Houston St, New York, NY 10012, USA",40.727819499999995,-74.0010896
ChIJ6-Q2PJJZwokRqXUdFUYb--Y,Porto Rico Importing Co.,"201 Bleecker St, New York, NY 10012, USA",40.7294917,-74.0016204
ChIJAQCweZxZwokRmyqYmYM3Ze8,Mountain House East Village 川山甲,"23 St Marks Pl, New York, NY 10003, USA",40.7291176,-73.9885834
ChIJq6qqr8dZwokRNqYPAJcjKas,Hudson River Park,"353 West St, New York, NY 10014, USA",40.7288194,-74.01220490000001
ChIJd9SPZTFawokRh9NpOTE-G5k,Dumbo - Manhattan Bridge View,"39-21 Washington St, Brooklyn, NY 11201, USA",40.70331650000001,-73.9895698
ChIJG6qVRAqJsIkRqg4WXhcwS8E,Williamsburg,"Williamsburg, VA, USA",37.2757305,-76.7098049
ChIJ4zGFAZpYwokRGUGph3Mf37k,Central Park,"New York, NY, USA",40.7825547,-73.9655834
ChIJ5bQPhMdZwokRkTwKhVxhP1g,The High Line,"New York, NY 10011, USA",40.747992499999995,-74.0047649
